Customer_ID,Age,Gender,City,Annual_Income_INR,Purchase_Frequency,Average_Order_Value_INR,Annual_Spend_INR,Recency_Days,Online_Purchase_Ratio,Discount_Usage_Ratio,Preferred_Category,Loyalty_Score,Cluster,Segment
CUST0024,49,Female,Delhi NCR,50033.0,6,2919.0,19776.0,45,0.29,0.53,Home,24.5,1,At-Risk / Inactive
CUST0025,45,Female,Delhi NCR,62681.0,6,2653.0,18130.0,26,0.96,0.3,Electronics,44.8,0,Deal-Driven Shoppers
CUST0026,26,Female,Mumbai,67584.0,31,1368.0,36239.0,90,0.45,0.27,Electronics,80.4,2,High-Value Loyalists
CUST0027,46,Male,Mumbai,51837.0,4,1902.0,7037.0,34,0.81,0.22,Fashion,39.2,0,Deal-Driven Shoppers
CUST0028,24,Female,Hyderabad,54361.0,7,2908.0,21685.0,13,0.38,0.58,Electronics,44.6,0,Deal-Driven Shoppers
CUST0029,37,Female,Bengaluru,38066.0,12,2194.0,23696.0,32,0.54,0.27,Home,51.9,0,Deal-Driven Shoppers
CUST0030,30,Male,Bengaluru,18000.0,19,2988.0,56610.0,36,0.54,0.52,Electronics,61.1,2,High-Value Loyalists
CUST0031,57,Female,Delhi NCR,58398.0,4,548.0,1958.0,22,0.38,0.24,Home,33.6,0,Deal-Driven Shoppers
CUST0032,56,Male,Lucknow,45617.0,28,1560.0,38613.0,28,0.4,0.28,Electronics,85.6,2,High-Value Loyalists
CUST0033,24,Female,Hyderabad,100382.0,16,3090.0,44198.0,30,0.18,0.32,Fashion,60.4,1,At-Risk / Inactive
CUST0034,30,Male,Pune,18000.0,14,3241.0,42311.0,40,0.94,0.89,Beauty,60.5,0,Deal-Driven Shoppers
CUST0035,28,Female,Pune,81645.0,3,3071.0,10343.0,16,0.44,0.42,Sports,44.9,1,At-Risk / Inactive
CUST0036,36,Female,Pune,102207.0,15,3755.0,50274.0,17,0.3,0.27,Beauty,65.1,1,At-Risk / Inactive
CUST0037,41,Male,Delhi NCR,90191.0,20,2488.0,45856.0,11,0.61,0.42,Fashion,79.9,2,High-Value Loyalists
CUST0038,44,Male,Hyderabad,87601.0,9,625.0,6080.0,27,0.78,0.53,Electronics,60.8,0,Deal-Driven Shoppers
CUST0039,22,Female,Bengaluru,49775.0,5,4166.0,18775.0,47,0.98,0.64,Fashion,30.5,0,Deal-Driven Shoppers
CUST0040,39,Female,Bengaluru,54527.0,10,4123.0,37405.0,48,0.27,0.33,Home,46.3,1,At-Risk / Inactive
CUST0041,45,Female,Mumbai,79551.0,18,300.0,4785.0,26,0.77,0.65,Electronics,71.2,0,Deal-Driven Shoppers
CUST0042,31,Female,Lucknow,80467.0,5,5662.0,24551.0,30,0.29,0.03,Electronics,46.0,1,At-Risk / Inactive
CUST0043,40,Male,Pune,59015.0,9,2828.0,21655.0,63,0.59,0.46,Fashion,32.2,1,At-Risk / Inactive
CUST0044,34,Female,Hyderabad,93133.0,5,3139.0,13554.0,36,0.17,0.37,Sports,23.3,1,At-Risk / Inactive
CUST0045,40,Male,Mumbai,26068.0,9,2149.0,21032.0,34,0.5,0.27,Fashion,35.4,0,Deal-Driven Shoppers
CUST0046,27,Female,Delhi NCR,109944.0,7,1943.0,15337.0,10,0.52,0.3,Fashion,42.6,1,At-Risk / Inactive
CUST0047,37,Female,Lucknow,95027.0,23,704.0,16049.0,98,0.27,0.03,Fashion,68.3,1,At-Risk / Inactive
CUST0048,40,Female,Hyderabad,87739.0,4,2392.0,9836.0,34,0.7,0.4,Home,31.6,1,At-Risk / Inactive
CUST0049,35,Female,Bengaluru,85148.0,10,3502.0,37910.0,9,0.96,0.41,Beauty,64.1,0,Deal-Driven Shoppers
CUST0050,43,Male,Delhi NCR,70304.0,18,2221.0,41920.0,55,0.75,0.18,Beauty,68.2,2,High-Value Loyalists
CUST0051,30,Female,Hyderabad,146918.0,8,4068.0,30018.0,17,0.74,0.5,Fashion,51.2,1,At-Risk / Inactive
CUST0052,34,Male,Delhi NCR,68426.0,14,1618.0,20644.0,26,0.76,0.16,Sports,54.8,0,Deal-Driven Shoppers
CUST0053,32,Male,Mumbai,89846.0,8,3925.0,28990.0,35,0.49,0.29,Sports,26.0,1,At-Risk / Inactive
CUST0054,38,Male,Pune,58877.0,13,6017.0,89299.0,33,0.89,0.45,Sports,57.2,2,High-Value Loyalists
CUST0055,18,Male,Lucknow,66892.0,11,3939.0,38645.0,37,0.81,0.46,Beauty,56.5,1,At-Risk / Inactive
CUST0056,48,Male,Hyderabad,31438.0,9,3129.0,25862.0,30,0.55,0.19,Fashion,49.6,1,At-Risk / Inactive
CUST0057,33,Male,Lucknow,138628.0,12,2773.0,35569.0,48,0.55,0.43,Electronics,57.8,1,At-Risk / Inactive
CUST0058,22,Female,Pune,91677.0,13,2410.0,27022.0,33,0.52,0.44,Electronics,63.8,0,Deal-Driven Shoppers
CUST0059,31,Male,Bengaluru,79682.0,20,2708.0,47005.0,93,0.85,0.57,Sports,76.7,2,High-Value Loyalists
CUST0060,52,Female,Delhi NCR,57632.0,11,3756.0,41784.0,94,0.37,0.05,Electronics,36.7,1,At-Risk / Inactive
CUST0061,33,Male,Hyderabad,18000.0,22,3016.0,62134.0,19,0.37,0.09,Home,73.9,2,High-Value Loyalists
CUST0062,32,Female,Hyderabad,52765.0,14,3184.0,45404.0,10,0.34,0.26,Beauty,57.7,1,At-Risk / Inactive
CUST0063,34,Female,Mumbai,61660.0,6,1498.0,9593.0,15,0.81,0.57,Sports,47.7,0,Deal-Driven Shoppers
CUST0064,41,Female,Bengaluru,60179.0,16,2800.0,45348.0,37,0.62,0.61,Fashion,57.9,0,Deal-Driven Shoppers
CUST0065,49,Female,Lucknow,82809.0,14,2766.0,33132.0,34,0.63,0.62,Fashion,61.3,0,Deal-Driven Shoppers
CUST0066,45,Female,Lucknow,68014.0,9,2288.0,21283.0,37,0.74,0.3,Electronics,41.4,0,Deal-Driven Shoppers
CUST0067,44,Male,Pune,64643.0,8,3406.0,29664.0,46,0.63,0.22,Beauty,32.7,1,At-Risk / Inactive
CUST0068,33,Female,Bengaluru,53929.0,13,906.0,12025.0,90,0.83,0.18,Fashion,73.6,0,Deal-Driven Shoppers
CUST0069,35,Male,Pune,73727.0,4,2978.0,10670.0,15,0.78,0.26,Fashion,49.0,1,At-Risk / Inactive
CUST0070,28,Male,Hyderabad,66406.0,10,362.0,4159.0,35,0.7,0.09,Fashion,41.3,0,Deal-Driven Shoppers
CUST0071,27,Female,Bengaluru,29981.0,10,551.0,4947.0,71,0.43,0.49,Home,34.9,0,Deal-Driven Shoppers
CUST0072,21,Male,Delhi NCR,82758.0,12,1161.0,15353.0,44,0.27,0.36,Beauty,50.1,0,Deal-Driven Shoppers
CUST0073,27,Male,Delhi NCR,54208.0,12,428.0,4478.0,27,0.34,0.24,Fashion,48.1,0,Deal-Driven Shoppers
CUST0074,50,Male,Pune,43259.0,6,2682.0,13848.0,56,0.32,0.33,Sports,33.7,1,At-Risk / Inactive
CUST0075,38,Male,Lucknow,30376.0,17,1780.0,27106.0,7,0.67,0.17,Fashion,55.4,0,Deal-Driven Shoppers
CUST0076,36,Male,Mumbai,116673.0,10,2491.0,25953.0,12,0.76,0.62,Fashion,68.1,0,Deal-Driven Shoppers
CUST0077,28,Female,Delhi NCR,36215.0,15,1336.0,20212.0,43,0.78,0.38,Beauty,68.6,0,Deal-Driven Shoppers
CUST0078,34,Male,Hyderabad,61511.0,13,3531.0,51930.0,20,0.42,0.6,Sports,42.8,1,At-Risk / Inactive
CUST0079,26,Male,Lucknow,79832.0,5,3867.0,19928.0,31,0.41,0.39,Sports,47.4,1,At-Risk / Inactive
CUST0080,19,Female,Delhi NCR,47161.0,19,1925.0,35609.0,36,0.9,0.48,Fashion,70.0,0,Deal-Driven Shoppers
CUST0081,40,Male,Delhi NCR,67648.0,15,1849.0,30352.0,64,0.67,0.21,Fashion,55.7,0,Deal-Driven Shoppers
CUST0082,40,Male,Delhi NCR,65193.0,11,3498.0,35284.0,19,0.24,0.14,Electronics,43.9,1,At-Risk / Inactive
CUST0083,49,Female,Bengaluru,95361.0,24,3571.0,73881.0,39,0.66,0.51,Fashion,80.3,2,High-Value Loyalists
CUST0084,22,Female,Lucknow,18000.0,24,2862.0,76946.0,64,0.41,0.36,Fashion,74.7,2,High-Value Loyalists
CUST0085,43,Male,Hyderabad,45029.0,11,3046.0,29836.0,31,0.18,0.55,Fashion,51.5,1,At-Risk / Inactive
CUST0086,38,Female,Mumbai,65072.0,17,479.0,7463.0,85,0.42,0.38,Beauty,47.3,0,Deal-Driven Shoppers
CUST0087,49,Female,Hyderabad,18000.0,3,1358.0,4441.0,71,0.58,0.28,Electronics,46.7,0,Deal-Driven Shoppers
CUST0088,19,Female,Delhi NCR,96684.0,18,3646.0,69558.0,3,0.46,0.24,Fashion,72.0,2,High-Value Loyalists
CUST0089,29,Female,Delhi NCR,38775.0,4,2867.0,10980.0,11,0.46,0.15,Fashion,49.8,1,At-Risk / Inactive
CUST0090,23,Female,Lucknow,92685.0,11,300.0,3200.0,16,0.66,0.46,Beauty,54.1,0,Deal-Driven Shoppers
CUST0091,33,Female,Delhi NCR,76237.0,9,1060.0,9247.0,38,0.42,0.16,Home,32.7,1,At-Risk / Inactive
CUST0092,37,Male,Lucknow,34880.0,18,3700.0,58581.0,14,0.81,0.28,Sports,82.6,2,High-Value Loyalists
CUST0093,43,Male,Mumbai,124290.0,6,4368.0,24215.0,18,0.9,0.25,Fashion,45.1,1,At-Risk / Inactive
CUST0094,40,Male,Pune,69928.0,13,1727.0,23629.0,13,0.83,0.19,Beauty,58.3,0,Deal-Driven Shoppers
CUST0095,39,Female,Pune,33834.0,18,2959.0,52722.0,36,0.5,0.42,Beauty,57.4,0,Deal-Driven Shoppers
CUST0096,39,Male,Mumbai,69382.0,10,300.0,3157.0,45,0.76,0.61,Electronics,41.3,0,Deal-Driven Shoppers
CUST0097,25,Female,Bengaluru,24947.0,4,1005.0,4585.0,51,0.61,0.7,Fashion,28.3,0,Deal-Driven Shoppers
CUST0098,34,Female,Bengaluru,18000.0,22,300.0,6674.0,39,0.59,0.29,Sports,68.5,0,Deal-Driven Shoppers
CUST0099,47,Female,Lucknow,75738.0,19,2516.0,41389.0,21,0.73,0.19,Home,78.1,2,High-Value Loyalists
CUST0100,20,Female,Bengaluru,83010.0,11,3511.0,35495.0,54,0.91,0.23,Beauty,54.3,1,At-Risk / Inactive
CUST0101,18,Male,Hyderabad,52353.0,5,3633.0,17540.0,15,0.2,0.56,Electronics,43.0,1,At-Risk / Inactive
CUST0102,41,Female,Lucknow,94992.0,7,988.0,6666.0,32,0.47,0.26,Fashion,51.4,0,Deal-Driven Shoppers
CUST0103,23,Male,Mumbai,46466.0,3,3914.0,10678.0,13,0.91,0.06,Fashion,49.3,1,At-Risk / Inactive
CUST0104,21,Female,Lucknow,63375.0,28,1778.0,51966.0,17,0.93,0.57,Beauty,100.0,2,High-Value Loyalists
CUST0105,32,Female,Lucknow,97978.0,7,3234.0,22693.0,33,0.33,0.18,Electronics,45.8,1,At-Risk / Inactive
CUST0106,32,Female,Lucknow,110410.0,7,2699.0,18639.0,15,0.52,0.23,Beauty,53.3,1,At-Risk / Inactive
CUST0107,41,Male,Delhi NCR,94897.0,22,1597.0,35567.0,96,0.64,0.06,Beauty,75.3,2,High-Value Loyalists
CUST0108,18,Male,Mumbai,77396.0,9,3445.0,27832.0,48,0.81,0.07,Fashion,57.5,1,At-Risk / Inactive
CUST0109,21,Male,Mumbai,18000.0,17,3604.0,52211.0,25,0.68,0.05,Fashion,73.9,2,High-Value Loyalists
CUST0110,21,Male,Hyderabad,51069.0,3,2694.0,8128.0,26,0.74,0.54,Sports,32.6,0,Deal-Driven Shoppers
CUST0111,28,Female,Lucknow,43886.0,6,1515.0,8300.0,31,0.36,0.68,Sports,28.2,0,Deal-Driven Shoppers
CUST0112,37,Female,Hyderabad,118045.0,21,3465.0,66997.0,13,0.89,0.28,Fashion,100.0,2,High-Value Loyalists
CUST0113,18,Female,Lucknow,82854.0,13,2389.0,27988.0,47,0.34,0.44,Sports,57.5,1,At-Risk / Inactive
CUST0114,44,Male,Mumbai,86132.0,9,1352.0,11282.0,19,0.89,0.38,Beauty,69.2,0,Deal-Driven Shoppers
CUST0115,37,Male,Bengaluru,97359.0,14,1411.0,20973.0,31,0.66,0.19,Home,67.5,0,Deal-Driven Shoppers
CUST0116,18,Male,Bengaluru,45626.0,6,3715.0,21425.0,26,0.61,0.74,Sports,48.8,0,Deal-Driven Shoppers
CUST0117,58,Female,Lucknow,80474.0,36,3817.0,130085.0,12,0.32,0.11,Electronics,89.2,2,High-Value Loyalists
CUST0118,49,Male,Bengaluru,85749.0,18,1764.0,27692.0,30,0.81,0.24,Fashion,62.4,0,Deal-Driven Shoppers
CUST0119,27,Male,Pune,40896.0,6,2469.0,15722.0,57,0.78,0.47,Fashion,38.7,0,Deal-Driven Shoppers
CUST0120,37,Male,Mumbai,85224.0,6,3327.0,22654.0,105,0.52,0.1,Beauty,31.7,1,At-Risk / Inactive
CUST0121,18,Female,Pune,52525.0,23,2837.0,72142.0,38,0.78,0.27,Sports,70.1,2,High-Value Loyalists
CUST0122,47,Male,Lucknow,77144.0,4,1022.0,4446.0,9,0.72,0.69,Fashion,36.6,0,Deal-Driven Shoppers
CUST0123,29,Male,Mumbai,37550.0,21,1509.0,35527.0,46,0.65,0.32,Fashion,70.4,0,Deal-Driven Shoppers
CUST0124,21,Male,Hyderabad,90131.0,15,3232.0,45833.0,38,0.87,0.6,Fashion,62.4,0,Deal-Driven Shoppers
CUST0125,34,Male,Pune,103298.0,10,2982.0,25896.0,38,0.52,0.08,Sports,48.4,1,At-Risk / Inactive
CUST0126,20,Male,Hyderabad,75220.0,10,2581.0,22822.0,15,0.79,0.37,Beauty,65.6,0,Deal-Driven Shoppers
CUST0127,29,Male,Lucknow,82728.0,17,2976.0,53505.0,69,0.49,0.04,Fashion,56.5,1,At-Risk / Inactive
CUST0128,37,Female,Pune,20422.0,8,1492.0,12445.0,9,0.87,0.65,Electronics,56.7,0,Deal-Driven Shoppers
CUST0129,52,Female,Mumbai,92486.0,8,2894.0,20554.0,44,0.37,0.56,Electronics,41.2,1,At-Risk / Inactive
CUST0130,41,Female,Delhi NCR,20047.0,11,1610.0,16267.0,9,0.13,0.34,Beauty,41.5,0,Deal-Driven Shoppers
CUST0131,35,Female,Lucknow,73879.0,13,1917.0,23738.0,13,0.31,0.4,Electronics,59.9,0,Deal-Driven Shoppers
CUST0132,48,Female,Mumbai,34042.0,7,627.0,3804.0,18,0.67,0.4,Beauty,40.1,0,Deal-Driven Shoppers
CUST0133,31,Male,Bengaluru,48134.0,10,5203.0,59314.0,24,0.55,0.22,Electronics,50.9,1,At-Risk / Inactive
CUST0134,30,Male,Mumbai,70639.0,13,3975.0,59127.0,56,0.74,0.39,Sports,43.1,1,At-Risk / Inactive
CUST0135,43,Male,Mumbai,84751.0,16,2311.0,36158.0,78,0.52,0.81,Fashion,60.6,0,Deal-Driven Shoppers
CUST0136,29,Female,Hyderabad,99078.0,9,2797.0,21519.0,20,0.32,0.36,Fashion,41.0,1,At-Risk / Inactive
CUST0137,26,Male,Bengaluru,51052.0,22,4772.0,102266.0,74,0.44,0.18,Fashion,58.0,2,High-Value Loyalists
CUST0138,45,Male,Pune,44349.0,14,1785.0,24702.0,110,0.79,0.77,Beauty,50.5,0,Deal-Driven Shoppers
CUST0139,31,Male,Bengaluru,18000.0,23,1600.0,33993.0,19,0.85,0.32,Fashion,71.8,0,Deal-Driven Shoppers
CUST0140,41,Male,Lucknow,22100.0,28,3109.0,85442.0,26,0.42,0.31,Fashion,78.9,2,High-Value Loyalists
CUST0141,35,Male,Mumbai,39523.0,11,3062.0,31396.0,44,0.79,0.51,Home,57.7,0,Deal-Driven Shoppers
CUST0142,28,Female,Hyderabad,74320.0,7,1554.0,10983.0,8,0.89,0.34,Fashion,56.5,0,Deal-Driven Shoppers
CUST0143,45,Female,Pune,101833.0,8,2378.0,21456.0,28,0.83,0.34,Home,38.4,1,At-Risk / Inactive
CUST0144,34,Male,Delhi NCR,78701.0,9,3703.0,36169.0,24,0.55,0.27,Beauty,46.0,1,At-Risk / Inactive
CUST0145,45,Female,Pune,47566.0,12,2344.0,27749.0,16,0.69,0.34,Beauty,52.1,0,Deal-Driven Shoppers
CUST0146,30,Male,Delhi NCR,42785.0,15,2973.0,49044.0,49,0.54,0.64,Fashion,64.9,0,Deal-Driven Shoppers
CUST0147,40,Male,Mumbai,95030.0,11,4135.0,45547.0,29,0.93,0.25,Beauty,62.6,1,At-Risk / Inactive
CUST0148,39,Female,Mumbai,61113.0,14,419.0,6302.0,29,0.48,0.17,Sports,62.8,0,Deal-Driven Shoppers
CUST0149,27,Female,Delhi NCR,67839.0,8,3124.0,23857.0,24,0.68,0.77,Electronics,51.2,0,Deal-Driven Shoppers
CUST0150,32,Female,Mumbai,77437.0,19,2366.0,46478.0,51,0.51,0.25,Fashion,56.7,1,At-Risk / Inactive
CUST0151,33,Male,Delhi NCR,82012.0,9,4922.0,47325.0,22,0.05,0.15,Beauty,55.1,1,At-Risk / Inactive
CUST0152,24,Female,Delhi NCR,98304.0,20,1653.0,37366.0,121,0.86,0.36,Beauty,62.6,0,Deal-Driven Shoppers
CUST0153,34,Male,Delhi NCR,18084.0,10,3099.0,29185.0,9,0.75,0.59,Beauty,58.7,0,Deal-Driven Shoppers
CUST0154,32,Male,Bengaluru,95432.0,3,300.0,1021.0,15,0.51,0.19,Electronics,31.3,0,Deal-Driven Shoppers
CUST0155,26,Male,Pune,82004.0,10,3195.0,27404.0,33,0.46,0.36,Sports,44.4,1,At-Risk / Inactive
CUST0156,34,Male,Bengaluru,44998.0,14,464.0,5958.0,36,0.63,0.25,Beauty,62.1,0,Deal-Driven Shoppers
CUST0157,43,Female,Lucknow,93354.0,12,2770.0,33013.0,43,0.34,0.25,Electronics,49.2,1,At-Risk / Inactive
CUST0158,27,Female,Delhi NCR,141181.0,11,4267.0,40811.0,30,0.36,0.15,Home,49.8,1,At-Risk / Inactive
CUST0159,32,Female,Lucknow,128587.0,7,1021.0,7192.0,22,0.88,0.72,Home,60.1,0,Deal-Driven Shoppers
CUST0160,20,Male,Mumbai,90840.0,14,3278.0,49121.0,43,0.96,0.33,Sports,68.3,2,High-Value Loyalists
CUST0161,22,Male,Mumbai,44446.0,31,2033.0,56472.0,31,0.76,0.63,Fashion,93.5,2,High-Value Loyalists
CUST0162,27,Male,Delhi NCR,79735.0,20,2684.0,60631.0,71,0.87,0.36,Fashion,68.1,2,High-Value Loyalists
CUST0163,26,Female,Bengaluru,64644.0,14,1132.0,16386.0,37,0.74,0.57,Home,59.0,0,Deal-Driven Shoppers
CUST0164,30,Male,Mumbai,58970.0,3,4230.0,13894.0,59,0.69,0.53,Electronics,24.9,1,At-Risk / Inactive
CUST0165,39,Female,Lucknow,106546.0,10,3324.0,33778.0,16,0.6,0.43,Fashion,55.7,1,At-Risk / Inactive
CUST0166,59,Male,Mumbai,100295.0,3,4419.0,12918.0,10,0.74,0.17,Fashion,41.0,1,At-Risk / Inactive
CUST0167,37,Female,Pune,69063.0,15,2616.0,43395.0,34,0.8,0.64,Home,52.9,0,Deal-Driven Shoppers
CUST0168,33,Female,Delhi NCR,39859.0,12,550.0,5699.0,26,0.53,0.39,Fashion,56.5,0,Deal-Driven Shoppers
CUST0169,22,Male,Hyderabad,64165.0,15,1382.0,23741.0,53,0.64,0.37,Beauty,65.9,0,Deal-Driven Shoppers
CUST0170,43,Male,Bengaluru,84804.0,12,2334.0,31072.0,65,0.46,0.48,Sports,41.4,1,At-Risk / Inactive
CUST0171,18,Female,Hyderabad,45248.0,24,3671.0,85923.0,41,0.54,0.27,Electronics,97.2,2,High-Value Loyalists
CUST0172,18,Female,Mumbai,50934.0,17,3099.0,48537.0,21,0.41,0.37,Beauty,56.5,1,At-Risk / Inactive
CUST0173,26,Male,Mumbai,64575.0,11,992.0,10442.0,26,0.53,0.14,Fashion,54.1,0,Deal-Driven Shoppers
CUST0174,37,Male,Mumbai,83458.0,22,2787.0,52372.0,82,0.64,0.39,Beauty,72.4,2,High-Value Loyalists
CUST0175,58,Female,Mumbai,116990.0,9,2589.0,23175.0,48,0.63,0.25,Fashion,48.6,1,At-Risk / Inactive
CUST0176,38,Female,Pune,71552.0,10,2970.0,29199.0,36,0.65,0.73,Home,63.2,0,Deal-Driven Shoppers
CUST0177,33,Male,Lucknow,55279.0,11,2804.0,31003.0,21,0.25,0.29,Sports,39.8,1,At-Risk / Inactive
CUST0178,18,Male,Lucknow,96726.0,2,2333.0,4251.0,40,0.51,0.55,Beauty,26.9,1,At-Risk / Inactive
CUST0179,48,Female,Hyderabad,67826.0,19,1476.0,30127.0,41,0.34,0.47,Electronics,59.6,0,Deal-Driven Shoppers
CUST0180,28,Female,Mumbai,109806.0,23,4959.0,99717.0,36,0.27,0.06,Sports,76.1,2,High-Value Loyalists
CUST0181,25,Female,Lucknow,60017.0,2,3887.0,7566.0,25,0.5,0.02,Sports,40.9,1,At-Risk / Inactive
CUST0182,33,Female,Lucknow,88318.0,13,3212.0,37207.0,29,0.49,0.4,Electronics,60.4,1,At-Risk / Inactive
CUST0183,49,Female,Bengaluru,143708.0,5,3243.0,14426.0,13,0.83,0.09,Sports,43.2,1,At-Risk / Inactive
CUST0184,24,Female,Pune,42420.0,7,5677.0,44657.0,53,0.8,0.15,Electronics,44.6,1,At-Risk / Inactive
CUST0185,23,Female,Pune,87560.0,4,2259.0,8524.0,10,0.61,0.23,Fashion,37.9,1,At-Risk / Inactive
CUST0186,32,Male,Mumbai,81773.0,9,1278.0,11544.0,38,0.5,0.33,Fashion,46.2,0,Deal-Driven Shoppers
CUST0187,32,Male,Hyderabad,42992.0,18,300.0,4706.0,27,0.53,0.13,Home,70.7,0,Deal-Driven Shoppers
CUST0188,53,Male,Bengaluru,106989.0,6,1636.0,8718.0,1,0.36,0.32,Fashion,54.1,1,At-Risk / Inactive
CUST0189,32,Female,Lucknow,56739.0,9,559.0,4654.0,27,0.38,0.31,Sports,55.3,0,Deal-Driven Shoppers
CUST0190,24,Male,Hyderabad,88945.0,16,2526.0,44370.0,16,0.65,0.24,Beauty,80.6,2,High-Value Loyalists
CUST0191,40,Female,Lucknow,98514.0,8,2208.0,16325.0,16,0.69,0.13,Sports,29.6,1,At-Risk / Inactive
CUST0192,21,Female,Pune,80530.0,15,2670.0,37819.0,18,0.52,0.16,Home,66.1,1,At-Risk / Inactive
CUST0193,34,Male,Delhi NCR,72062.0,12,3467.0,45708.0,50,0.44,0.03,Beauty,43.7,1,At-Risk / Inactive
CUST0194,42,Male,Hyderabad,90725.0,18,2149.0,41868.0,45,0.84,0.42,Home,68.3,0,Deal-Driven Shoppers
CUST0195,41,Female,Delhi NCR,67276.0,8,1975.0,15081.0,46,0.77,0.37,Fashion,46.7,0,Deal-Driven Shoppers
CUST0196,41,Female,Lucknow,84725.0,12,1243.0,15059.0,83,0.36,0.22,Beauty,38.5,1,At-Risk / Inactive
CUST0197,43,Female,Pune,58214.0,14,1382.0,21935.0,24,0.18,0.57,Beauty,51.3,0,Deal-Driven Shoppers
CUST0198,18,Female,Lucknow,52754.0,2,3464.0,7568.0,6,0.37,0.28,Electronics,32.6,1,At-Risk / Inactive
CUST0199,18,Female,Hyderabad,92092.0,39,1989.0,69048.0,85,0.75,0.41,Home,100.0,2,High-Value Loyalists
CUST0200,43,Female,Mumbai,21982.0,17,1783.0,33284.0,53,0.82,0.32,Beauty,65.0,0,Deal-Driven Shoppers
CUST0201,19,Female,Delhi NCR,113306.0,2,4438.0,10089.0,7,0.4,0.47,Fashion,32.0,1,At-Risk / Inactive
CUST0202,50,Male,Bengaluru,87061.0,13,1648.0,20996.0,23,0.19,0.24,Fashion,56.6,1,At-Risk / Inactive
CUST0203,38,Female,Hyderabad,88382.0,8,1394.0,10017.0,33,0.75,0.14,Home,48.7,0,Deal-Driven Shoppers
CUST0204,40,Male,Delhi NCR,50009.0,2,2915.0,6446.0,19,0.13,0.27,Fashion,20.5,1,At-Risk / Inactive
CUST0205,47,Female,Hyderabad,79874.0,14,1444.0,21861.0,14,0.26,0.21,Fashion,36.3,1,At-Risk / Inactive
CUST0206,39,Male,Pune,72205.0,8,3631.0,32372.0,16,0.32,0.33,Fashion,40.8,1,At-Risk / Inactive
CUST0207,48,Male,Mumbai,27527.0,5,2231.0,11727.0,46,0.85,0.38,Beauty,55.5,0,Deal-Driven Shoppers
